,BID,BID_MOVE,ASK,ASK_MOVE,TSELL,RSELL,RBUY,TBUY,STATUS,COMMENT,ALLOCATION,FREE,LOCKED,PROFIT,COUNT
DENTUSDT,0.01024610,-,0.01026030,-,0,0,0.010056564,0.0099539460,0,Waiting Opportunity To Buy,87.357143,4151.776,0,42.539512,0
TRXUSDT,0.05980000,-,0.05982000,=,0,0,0.058623600,0.058025400,0,Waiting Opportunity To Buy,87.357143,752.7422,0,45.013984,0
OMUSDT,0.42950000,=,0.43010000,=,0,0,0.42149800,0.41719700,0,Waiting Opportunity To Buy,87.357143,94.09943,0,40.415705,0
CHZUSDT,0.51644000,=,0.51665000,=,0,0,0.50631700,0.50115050,0,Waiting Opportunity To Buy,87.357143,86.39956,0,44.620189,0
RVNUSDT,0.19591000,+,0.19600000,+,0,0,0.19208000,0.19012000,0,Waiting Opportunity To Buy,87.357143,227.1867,0,44.508146,0
DOGEUSDT,0.05250600,+,0.05251800,-,0,0,0.051475578,0.050950317,0,Waiting Opportunity To Buy,87.357143,826.345,0,43.388071,0
BTTUSDT,0.00322210,-,0.00322400,-,0,0,0.0031600100,0.0031277650,0,Waiting Opportunity To Buy,87.357143,14076.257,0,45.355108,0
ONTUSDT,1.26080000,+,1.26150000,+,0,0,1.2362700,1.2236550,0,Waiting Opportunity To Buy,87.357143,32.41206,0,40.865125,0
VETUSDT,0.08431100,+,0.08434300,+,0,0,0.082656140,0.081812710,0,Waiting Opportunity To Buy,87.357143,501.4516,0,42.277886,0
WINUSDT,0.00036031,+,0.00036065,+,0,0,0.00035343700,0.00034983050,0,Waiting Opportunity To Buy,87.357143,124716.768,0,44.936699,0
HOTUSDT,0.00791790,-,0.00792000,-,0,0,0.0077683620,0.0076890930,0,Waiting Opportunity To Buy,87.357143,5669.629,0,44.891555,0
TROYUSDT,0.02160400,+,0.02164510,=,0,0,0.021212198,0.020995747,0,Waiting Opportunity To Buy,87.357143,1937.093,0,41.848957,0
KEYUSDT,0.02316000,=,0.02318900,-,0,0,0.022726200,0.022494300,0,Waiting Opportunity To Buy,87.357143,1797.349,0,41.626603,0
VITEUSDT,0.12152000,=,0.12168000,=,0,0,0.11924640,0.11802960,0,Waiting Opportunity To Buy,87.357143,338.6262,0,41.149856,0
